section, description
﻿1,"Live Animals Animal Products"
2,"Vegetable Products"
3,"Animal or Vegetable Fats and Oils and Their Cleavage Products Prepared Edible Fats Animal or Vegetable Waxes"
4,"Prepared Foodstuffs Beverages Spirits and Vinegar Tobacco and Manufactured Tobacco Substitutes"
5,Mineral Products
6,Products of the Chemical or Allied Industries
7,Plastics and Articles Thereof Rubber and Articles Thereof
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof Saddlery and Harness Travel Goods, Handbags and Similar Containers Articles of Animal Gut (Other Than Silkworm Gut)"
9,"Wood and Articles of Wood Wood Charcoal Cork and Articles of Cork Manufacturers of Straw,of Esparto or of Other Plaiting Materials Basketware and Wickerwork"
10,"Pulp of Wood or of Other Fibrous Cellulosic Material Waste and Scrap of Paper or Paperboard Paper and Paperboard and Articles Thereof"
11,Textile and Textile Articles
12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof Prepared Feathers and Articles Made Therewith Artificial Flowers Articles of Human Hair"
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials Ceramic Products Glass and Glassware"
14,"Natural or Cultured Pearls, Precious or Semiprecious Stones, Precious Metals, Metals Clad With Precious Metal, and Articles Thereof Imitation Jewelry Coin"
15,Base Metals and Articles of Base Metal
16,"Machinery and Mechanical Appliances Electrical Equipment Parts Thereof Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus Clocks and Watches Musical Instruments Parts and Accessories Thereof"
19,"Arms and Ammunition Parts and Accessories Thereof"
20,Miscellaneous Manufactured Articles
21,"Works of Art, Collectors' Pieces and Antiques"
22,"Special Classification Provisions Temporary Legislation Temporary Modifications Proclaimed pursuant to Trade Agreements Legislation Additional Import Restrictions Proclaimed Pursuant to Section 22 of the Agricultural Adjustment Act, As Amended"
