chapter, heading, subheading, description
01,0101,010121,"HORSES, LIVE, PUREBRED BREEDING"
01,0101,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING"
01,0101,010130,"ASSES, LIVE"
01,0101,010190,"MULES AND HINNIES, LIVE"
01,0102,010221,"CATTLE, LIVE, PUREBRED BREEDING"
01,0102,010229,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING"
01,0102,010231,"BUFFALO, LIVE, PUREBRED BREEDING"
01,0102,010239,"BUFFALO, LIVE, OTHER THAN PUREBRED BREEDING"
01,0102,010290,"BOVINE ANIMALS, LIVE, NESOI"
01,0103,010310,"SWINE, LIVE, PUREBRED BREEDING ANIMALS"
01,0103,010391,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG EACH"
01,0103,010392,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH"
01,0104,010410,"SHEEP, LIVE"
01,0104,010420,"GOATS, LIVE"
01,0105,010511,"CHICKENS, LIVE, WEIGHING NOT OVER 185 G EACH"
01,0105,010512,"TURKEYS, LIVE, WEIGHING NOT OVER 185 G EACH"
01,0105,010513,"DUCKS, LIVE, WEIGHING NOT OVER 185 G EACH"
01,0105,010514,"GEESE, LIVE, WEIGHING NOT OVER 185 G EACH"
01,0105,010515,"GUINEA FOWLS, LIVE WEIGHING NOT OVER 185 G EACH"
01,0105,010594,"CHICKENS, LIVE, WEIGHING MORE THAN 185 G EACH"
01,0105,010599,"TURKEYS, DUCKS, GEESE, GUINEA FOWLS, LIVE, OV 185G"
01,0106,010611,"PRIMATES, LIVE"
01,0106,010612,"WHALES,DOLPHINS,PORPOISES,MANATEES,DUGONG,ETC LIVE"
01,0106,010613,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE"
01,0106,010614,"RABBITS AND HARES, LIVE"
01,0106,010619,"MAMMALS, LIVE, NESOI"
01,0106,010620,LIVE REPTILES (INCLUDING SNAKES AND TURTLES)
01,0106,010631,LIVE BIRDS OF PREY
01,0106,010632,"PSITTACIFORMES ( PARROTS, MACAWS &COCKATOOS), LIVE"
01,0106,010633,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE"
01,0106,010639,"BIRDS, LIVE, NESOI"
01,0106,010641,"BEES, LIVE"
01,0106,010649,"INSECTS OTHER THAN BEES, LIVE"
01,0106,010690,"ANIMALS, LIVE, NESOI"
02,0201,020110,CARCASSES/HALF-CARCASSES OF BOVINE ANMLS FRSH/CHLD
02,0201,020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED"
02,0201,020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED"
02,0202,020210,"CARCASSES/HALF-CARCASSES OF BOVINE ANIMALS, FROZEN"
02,0202,020220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN"
02,0202,020230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN"
02,0203,020311,"CARCASSES & HALF-CARCASSES OF SWINE FRESH, CHILLED"
02,0203,020312,"MEAT, SWINE, HAMS, SHLDRS, BONE IN, FRSH OR CHLLD"
02,0203,020319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED"
02,0203,020321,"CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN"
02,0203,020322,"MEAT, SWINE, HAMS, SHOULDERS ETC, BONE IN, FROZEN"
02,0203,020329,"MEAT OF SWINE, NESOI, FROZEN"
02,0204,020410,CARCASSES AND HALF-CARCASSES OF LAMB FRESH/CHILLED
02,0204,020421,"CARCASSES & HALF-CARCASSES OF SHEEP, FRESH/CHILLED"
02,0204,020422,"MEAT OF SHEEP, CUTS, BONE IN NESOI, FRESH, CHILLED"
02,0204,020423,"MEAT OF SHEEP, BONELESS, FRESH OR CHILLED"
02,0204,020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN"
02,0204,020441,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN"
02,0204,020442,"MEAT OF SHEEP, CUTS WITH BONE IN, NESOI, FROZEN"
02,0204,020443,"MEAT OF SHEEP, BONELESS, FROZEN"
02,0204,020450,"MEAT OF GOATS, FRESH, CHILLED OR FROZEN"
02,0205,020500,"MEAT OF HORSES, ASSES, MULES, HINNIES FR, CHLD, FZ"
02,0206,020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED"
02,0206,020621,"TONGUES OF BOVINE ANIMALS, EDIBLE, FROZEN"
02,0206,020622,"LIVERS OF BOVINE ANIMALS, EDIBLE, FROZEN"
02,0206,020629,"OFFAL OF BOVINE ANIMALS, EDIBLE, NESOI, FROZEN"
02,0206,020630,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED"
02,0206,020641,"LIVERS OF SWINE, EDIBLE, FROZEN"
02,0206,020649,"OFFAL OF SWINE EXCEPT LIVERS, EDIBLE, FROZEN"
02,0206,020680,"OFFAL SHEEP,GOAT,HORSE,ASS, MULE/HINNY EDBLE FR/CH"
02,0206,020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN"
02,0207,020711,"MEAT & OFFAL OF CHICKENS,NOT CUT FRESH OR CHILLED"
02,0207,020712,"MEAT & OFFAL OF CHICKENS,NOT CUT IN PIECES,FROZEN"
